#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879B
#Date Time: 2025-05-14 10:24:10.351
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 2.8 kHz
#Period: 357.1428571 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.003212611940298508,0.02844036891131095,-0.000697057590564935
-0.003211361940298508,0.04967196083824381,-0.0003592838050522708
-0.003210111940298508,0.07225159034783907,-0.0003592838050522708
-0.003208861940298508,0.09348318227477193,-0.001034831376077599
-0.003207611940298507,0.1163998211800328,-0.000697057590564935
-0.003206361940298507,0.1372944037113,-2.151001953960667e-05
-0.003205111940298508,0.1588630050338985,-2.151001953960667e-05
-0.003203861940298508,0.1814426345434938,-2.151001953960667e-05
-0.003202611940298508,0.2033482452617578,0.0003162637659730575
-0.003201361940298508,0.2228947902103627,0.0003162637659730575
-0.003200111940298508,0.2441263821372955,0.0003162637659730575
-0.003198861940298508,0.2663690022512252,0.0006540375514857217
-0.003197611940298508,0.2886116223651549,0.0006540375514857217
-0.003196361940298507,0.3084951767094253,0.00132958512251105
-0.003195111940298508,0.3297267686363582,0.002005132693536378
-0.003193861940298508,0.3492733135849631,0.002680680264561707
-0.003192611940298508,0.3698308867205647,0.00538287054866302
-0.003191361940298508,0.3900514504605008,0.007747287047251669
-0.003190111940298508,0.4102720142004368,0.01112502490237831
-0.003188861940298508,0.4315036061273697,0.01551608411404294
-0.003187611940298508,0.4500391228889777,0.02193378603878356
-0.003186361940298507,0.4692486584419169,0.02700039282147353
-0.003185111940298507,0.4887952033905218,0.03544473745929013
-0.003183861940298508,0.508004738943461,0.04355130831159407
-0.003182611940298508,0.5251922181224067,0.05199565294941067
-0.003181361940298508,0.5450757724666772,0.06280441408581593
-0.003180111940298508,0.5636112892282852,0.07395094900773384
-0.003178861940298508,0.5811357778028964,0.08509748392965176
-0.003177611940298508,0.5986602663775077,0.09658179263708234
-0.003176361940298508,0.6168587737434501,0.1087416489155383
-0.003175111940298507,0.6340462529223958,0.1205637314084815
-0.003173861940298508,0.6505597133100102,0.1330613614724501
-0.003172611940298508,0.6677471924889559,0.1458967653219313
-0.003171361940298508,0.6829126152939079,0.1573810740293619
-0.003170111940298508,0.6974040193075287,0.1692031565223052
-0.003168861940298508,0.7142544890908088,0.1820385603717864
-0.003167611940298508,0.7280718743130984,0.194536190435755
-0.003166361940298508,0.7429002877223848,0.2063582729286982
-0.003165111940298507,0.7577287011316712,0.2181803554216415
-0.003163861940298507,0.7728941239366233,0.229664664129072
-0.003162611940298508,0.7863744997632474,0.2411489728365026
-0.003161361940298508,0.7995178661942058,0.2536466029004712
-0.003160111940298508,0.8129982420208298,0.2641175902513638
-0.003158861940298508,0.8247935708691259,0.2732374824602057
-0.003157611940298508,0.8372629185087531,0.2847217911676363
-0.003156361940298508,0.8477102097743867,0.2948550047330162
-0.003155111940298508,0.8588315198313515,0.3036371231563455
-0.003153861940298507,0.8713008674709788,0.3147836580782634
-0.003152611940298508,0.8817481587366124,0.32322800271608
-0.003151361940298508,0.890510403023918,0.3316723473538966
-0.003150111940298508,0.900620684893886,0.3391033706351753
-0.003148861940298508,0.9100569479725229,0.3478854890585045
-0.003147611940298508,0.9181451734684973,0.3563298336963211
-0.003146361940298508,0.9282554553384653,0.3640986307631124
-0.003145111940298508,0.9349956432517773,0.370516332687853
-0.003143861940298507,0.9424098499564206,0.377609582183619
-0.003142611940298507,0.9494870472653982,0.3830139627518216
-0.003141361940298508,0.9558902257830446,0.3884183433200242
-0.003140111940298508,0.9609453667180287,0.3951738190302775
-0.003138861940298508,0.9670115358400094,0.3988893306709168
-0.003137611940298508,0.9720666767749935,0.4029426160970688
-0.003136361940298508,0.9771218177099775,0.4083469966652714
-0.003135111940298508,0.9818399492492959,0.411724734520398
-0.003133861940298508,0.9865580807886143,0.4164535675175753
-0.003132611940298507,0.9879061183712767,0.4174668888741133
-0.003131361940298507,0.9916132217235983,0.4205068529437273
-0.003130111940298508,0.9932982687019263,0.422871269442316
-0.003128861940298508,0.9943092968889231,0.4245601383698793
-0.003127611940298508,0.9956573344715856,0.4248979121553919
-0.003126361940298508,0.9993644378239072,0.4269245548684679
-0.003125111940298508,0.9970053720542479,0.4252356859409046
-0.003123861940298508,0.9983534096369103,0.4269245548684679
-0.003122611940298507,0.9976793908455791,0.4272623286539806
-0.003121361940298507,0.9953203250759199,0.4248979121553919
-0.003120111940298508,0.9929612593062607,0.4225334956568033
-0.003118861940298508,0.9912762123279327,0.421857948085778
-0.003117611940298508,0.9879061183712767,0.417804662659626
-0.003116361940298508,0.9868950901842799,0.41577801994655
-0.003115111940298508,0.9838620056232895,0.413751377233474
-0.003113861940298508,0.9794808834796367,0.4090225442362967
-0.003112611940298508,0.9737517237533214,0.4056448063811701
-0.003111361940298507,0.9700446204009998,0.4019292947405308
-0.003110111940298507,0.9643154606746847,0.3972004617433535
-0.003108861940298508,0.9582492915527038,0.3914583073896382
-0.003107611940298508,0.9531941506177198,0.3863917006069482
-0.003106361940298508,0.945442934517411,0.3789606773256696
-0.003105111940298508,0.9380287278127678,0.3732185229719543
-0.003103861940298508,0.9299405023167934,0.3657874996906757
-0.003102611940298508,0.9228633050078158,0.3590320239804224
-0.003101361940298507,0.9130900325335133,0.3519387744846565
-0.003100111940298507,0.903990778850542,0.3424811084903019
-0.003098861940298508,0.8959025533545677,0.3364011803510739
-0.003097611940298508,0.887140309067262,0.32829460949877
-0.003096361940298508,0.8746709614276348,0.3178236221478774
-0.003095111940298508,0.8642236701620012,0.3076904085824975
-0.003093861940298508,0.8531023601050364,0.2989082901591682
-0.003092611940298508,0.8429920782350683,0.2901261717358389
-0.003091361940298508,0.8301857211997755,0.2793174105994337
-0.003090111940298507,0.8183903923514795,0.2681708756775157
-0.003088861940298507,0.8035619789421931,0.2560110193990598
-0.003087611940298508,0.7914296406982314,0.2455400320481673
-0.003086361940298508,0.7776122554759417,0.2354068184827873
-0.003085111940298508,0.7644688890449833,0.2242602835608694
-0.003083861940298508,0.7496404756356969,0.2114248797113882
-0.003082611940298508,0.7354860810177416,0.1999405710039576
-0.003081361940298508,0.7206576676084552,0.1871051671544764
-0.003080111940298507,0.7048182260121719,0.1756208584470458
-0.003078861940298507,0.6893157938115543,0.1631232283830772
-0.003077611940298508,0.673476352215271,0.151301145890134
-0.003076361940298508,0.6572999012233222,0.139141289611678
-0.003075111940298508,0.639775412648711,0.1263058857621968
-0.003073861940298508,0.6242729804480933,0.1141460294837409
-0.003072611940298508,0.6064114824778165,0.1013106256342596
-0.003071361940298508,0.5892240032988708,0.09083963828336705
-0.003070111940298508,0.5716995147242596,0.07969310336144914
-0.003068861940298507,0.5521529697756548,0.06854656843953122
-0.003067611940298507,0.5346284812010434,0.0574000335176133
-0.003066361940298508,0.5160929644394354,0.04794236752325871
-0.003065111940298508,0.4972204382821618,0.03916024909992943
